id	draft_reference	doi	audit_status	source_url	submission_action
Gui2020_ZEAMAP	Gui, S. et al. ZEAMAP, a comprehensive database adapted to the maize multi-omics era. iScience 23, 101241 (2020).	10.1016/j.isci.2020.101241	doi_ready_verify_author_list	https://doi.org/10.1016/j.isci.2020.101241	Mandatory data-resource citation.
Jiao2017_B73RefGenV4	Jiao, Y. et al. Improved maize reference genome with single-molecule technologies. Nature 546, 524-527 (2017).	10.1038/nature22971	doi_ready_verify_author_list	https://doi.org/10.1038/nature22971	Mandatory B73 RefGen_v4/reference-genome citation.
Yates2022_EnsemblGenomes	Yates, A. D. et al. Ensembl Genomes 2022: an expanding genome resource for non-vertebrates. Nucleic Acids Research 50, D996-D1003 (2022).	10.1093/nar/gkab1007	doi_ready_verify_author_list	https://doi.org/10.1093/nar/gkab1007	Use for Ensembl Plants/Gramene-style annotation provenance if required.
Zhou2012_GEMMA	Zhou, X. and Stephens, M. Genome-wide efficient mixed-model analysis for association studies. Nature Genetics 44, 821-824 (2012).	10.1038/ng.2310	doi_ready	https://doi.org/10.1038/ng.2310	Mandatory GEMMA/univariate mixed-model citation.
Zhou2014_MV_LMM	Zhou, X. and Stephens, M. Efficient multivariate linear mixed model algorithms for genome-wide association studies. Nature Methods 11, 407-409 (2014).	10.1038/nmeth.2848	optional	https://doi.org/10.1038/nmeth.2848	Optional background; remove if journal wants lean references because current analysis is univariate.
Benjamini1995_FDR	Benjamini, Y. and Hochberg, Y. Controlling the false discovery rate: a practical and powerful approach to multiple testing. Journal of the Royal Statistical Society Series B 57, 289-300 (1995).	10.1111/j.2517-6161.1995.tb02031.x	doi_ready	https://doi.org/10.1111/j.2517-6161.1995.tb02031.x	Use for FDR method citation.
Li2013_MaizeOilGWAS	Li, H. et al. Genome-wide association study dissects the genetic architecture of oil biosynthesis in maize kernels. Nature Genetics 45, 43-50 (2013).	10.1038/ng.2484	doi_ready_verify_author_list	https://doi.org/10.1038/ng.2484	Mandatory maize oil GWAS citation.
Alrefai1995_FattyAcidQTL	Alrefai, R. et al. Chromosomal locations of maize genes controlling fatty acid composition of the embryo oil. Genome 38, 827-838 (1995).	10.1139/g95-108	doi_ready_verify_author_list	https://doi.org/10.1139/g95-108	Use for chromosome-level fatty-acid QTL context.
Cook2012_KernelComposition	Cook, J. P. et al. Genetic architecture of maize kernel composition in the nested association mapping and inbred association panels. Plant Physiology 158, 824-834 (2012).	10.1104/pp.111.185033	doi_ready_verify_author_list	https://doi.org/10.1104/pp.111.185033	Use for kernel-composition genetic architecture.
Zheng2008_DGAT	Zheng, P. et al. A phenylalanine in DGAT is a key determinant of oil content and composition in maize. Nature Genetics 40, 367-372 (2008).	10.1038/ng.85	corrects_stage5_10_reference	https://doi.org/10.1038/ng.85	Replace the earlier draft's incorrect 'PLoS Genetics 2012' entry.
Khan2022_FattyAcidContent	Khan, N. et al. Genetic variation of fatty acid content in maize. Frontiers in Nutrition 9, 906530 (2022).	10.3389/fnut.2022.906530	doi_ready_verify_author_list	https://doi.org/10.3389/fnut.2022.906530	Use for fatty-acid composition background.
Liu2023_OilRelatedTraits	Liu, H. et al. Genome-wide association study reveals the genetic architecture of oil-related traits in maize. Frontiers in Plant Science 14, 1174985 (2023).	10.3389/fpls.2023.1174985	doi_ready_verify_author_list	https://doi.org/10.3389/fpls.2023.1174985	Use for recent oil-trait GWAS context.
Pedregosa2011_sklearn	Pedregosa, F. et al. Scikit-learn: machine learning in Python. Journal of Machine Learning Research 12, 2825-2830 (2011).		no_standard_doi_use_jmlr_url	https://jmlr.org/papers/v12/pedregosa11a.html	Use if software citations are included in Methods/Supplement.
Harris2020_NumPy	Harris, C. R. et al. Array programming with NumPy. Nature 585, 357-362 (2020).	10.1038/s41586-020-2649-2	doi_ready	https://doi.org/10.1038/s41586-020-2649-2	Software citation.
Virtanen2020_SciPy	Virtanen, P. et al. SciPy 1.0: fundamental algorithms for scientific computing in Python. Nature Methods 17, 261-272 (2020).	10.1038/s41592-019-0686-2	doi_ready	https://doi.org/10.1038/s41592-019-0686-2	Software citation.
McKinney2010_pandas	McKinney, W. Data structures for statistical computing in Python. Proceedings of the 9th Python in Science Conference, 56-61 (2010).	10.25080/Majora-92bf1922-00a	doi_ready	https://doi.org/10.25080/Majora-92bf1922-00a	Software citation.
Hunter2007_Matplotlib	Hunter, J. D. Matplotlib: A 2D graphics environment. Computing in Science & Engineering 9, 90-95 (2007).	10.1109/MCSE.2007.55	doi_ready	https://doi.org/10.1109/MCSE.2007.55	Figure-generation software citation.
