check	status	evidence
title_present	pass	Clean manuscript begins with the manuscript title.
core_ideas_present	pass	Core Ideas section retained for The Plant Genome route.
abstract_present	pass	Abstract and Keywords sections present.
main_text_word_count	pass	Main text word count estimate: 1643.
references_author_year_style	pass	Reference entries detected: 18; no numbered entries expected.
required_statements_present	pass	Data, code, competing-interest and ethics statements checked.
figure_legends_present	pass	Figure 1-3 legends present.
table_legends_present	pass	Main and supplementary table legends present.
author_metadata_placeholders	human_required	Author, funding and acknowledgement placeholders intentionally retained for author completion.
claim_boundary	pass	Candidate-interval and no-causal-claim boundaries checked.
