item	status	needed_input
author_order	author_required	Final author order and exact spelling.
affiliations	author_required	Institution names, departments, city/country and numbered affiliation mapping.
corresponding_author	author_required	Name, email, postal address if journal requires it.
orcid_ids	recommended	ORCID for each author if available.
credit_roles	author_required	CRediT roles for each author: conceptualization, data curation, software, formal analysis, visualization, writing, supervision, funding acquisition.
funding_statement	author_required	Grant agency, grant number, funder role statement or no-specific-funding statement.
acknowledgements	author_required	People/groups to thank and exact approved wording.
competing_interests	author_required	Final author-approved COI statement.
figure_approval	author_required	Final visual approval of Figures 1-3 at target-journal page size.
target_journal	author_required	Confirm first target: recommended The Plant Genome; backups G3 and BMC Plant Biology.
