id	first_author_expected	year_expected	title_expected	container_expected	volume_expected	page_expected	doi	submission_action	source_checked	fetch_status	crossref_title	crossref_container	crossref_year	crossref_volume	crossref_page	crossref_first_author	title_match	year_match	first_author_match	verdict	url
Gui2020_ZEAMAP	Gui	2020	ZEAMAP, a comprehensive database adapted to the maize multi-omics era	iScience	23	101241	10.1016/j.isci.2020.101241	Mandatory ZEAMAP data-resource citation.	https://api.crossref.org/works/10.1016%2Fj.isci.2020.101241	crossref_found	ZEAMAP, a Comprehensive Database Adapted to the Maize Multi-Omics Era	iScience	2020	23	101241	Songtao Gui	True	True	True	verified	NA
Jiao2017_B73RefGenV4	Jiao	2017	Improved maize reference genome with single-molecule technologies	Nature	546	524-527	10.1038/nature22971	Mandatory B73 RefGen_v4 citation.	https://api.crossref.org/works/10.1038%2Fnature22971	crossref_found	Improved maize reference genome with single-molecule technologies	Nature	2017	546	524-527	Yinping Jiao	True	True	True	verified	NA
Yates2022_EnsemblGenomes	Yates	2022	Ensembl Genomes 2022: an expanding genome resource for non-vertebrates	Nucleic Acids Research	50	D996-D1003	10.1093/nar/gkab1007	Use for Ensembl/annotation provenance if retained.	https://api.crossref.org/works/10.1093%2Fnar%2Fgkab1007	crossref_found	Ensembl Genomes 2022: an expanding genome resource for non-vertebrates	Nucleic Acids Research	2022	50	D996-D1003	Andrew D Yates	True	True	True	verified	NA
Zhou2012_GEMMA	Zhou	2012	Genome-wide efficient mixed-model analysis for association studies	Nature Genetics	44	821-824	10.1038/ng.2310	Mandatory GEMMA citation.	https://api.crossref.org/works/10.1038%2Fng.2310	crossref_found	Genome-wide efficient mixed-model analysis for association studies	Nature Genetics	2012	44	821-824	Xiang Zhou	True	True	True	verified	NA
Zhou2014_MV_LMM	Zhou	2014	Efficient multivariate linear mixed model algorithms for genome-wide association studies	Nature Methods	11	407-409	10.1038/nmeth.2848	Optional; remove if reference list is too long because analysis is univariate.	https://api.crossref.org/works/10.1038%2Fnmeth.2848	crossref_found	Efficient multivariate linear mixed model algorithms for genome-wide association studies	Nature Methods	2014	11	407-409	Xiang Zhou	True	True	True	verified	NA
Benjamini1995_FDR	Benjamini	1995	Controlling the false discovery rate: a practical and powerful approach to multiple testing	Journal of the Royal Statistical Society: Series B	57	289-300	10.1111/j.2517-6161.1995.tb02031.x	Use for FDR method citation.	https://api.crossref.org/works/10.1111%2Fj.2517-6161.1995.tb02031.x	crossref_found	Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing	Journal of the Royal Statistical Society Series B: Statistical Methodology	1995	57	289-300	Yoav Benjamini	True	True	True	verified	NA
Li2013_MaizeOilGWAS	Li	2013	Genome-wide association study dissects the genetic architecture of oil biosynthesis in maize kernels	Nature Genetics	45	43-50	10.1038/ng.2484	Mandatory maize oil GWAS citation.	https://api.crossref.org/works/10.1038%2Fng.2484	crossref_found	Genome-wide association study dissects the genetic architecture of oil biosynthesis in maize kernels	Nature Genetics	2013	45	43-50	Hui Li	True	True	True	verified	NA
Alrefai1995_FattyAcidQTL	Alrefai	1995	Quantitative trait locus analysis of fatty acid concentrations in maize	Genome	38	894-901	10.1139/g95-118	Corrects previous erroneous DOI 10.1139/g95-108 and title/page fields.	https://api.crossref.org/works/10.1139%2Fg95-118	crossref_found	Quantitative trait locus analysis of fatty acid concentrations in maize	Genome	1995	38	894-901	Rudaina Alrefai	True	True	True	verified	NA
Cook2012_KernelComposition	Cook	2012	Genetic architecture of maize kernel composition in the nested association mapping and inbred association panels	Plant Physiology	158	824-834	10.1104/pp.111.185033	Use for kernel-composition genetic architecture.	https://api.crossref.org/works/10.1104%2Fpp.111.185033	crossref_found	Genetic Architecture of Maize Kernel Composition in the Nested Association Mapping and Inbred Association Panels  	Plant Physiology	2012	158	824-834	Jason P. Cook	True	True	True	verified	NA
Zheng2008_DGAT	Zheng	2008	A phenylalanine in DGAT is a key determinant of oil content and composition in maize	Nature Genetics	40	367-372	10.1038/ng.85	Corrected DGAT oil-composition reference.	https://api.crossref.org/works/10.1038%2Fng.85	crossref_found	A phenylalanine in DGAT is a key determinant of oil content and composition in maize	Nature Genetics	2008	40	367-372	Peizhong Zheng	True	True	True	verified	NA
Katral2022_Zmfatb	Katral	2022	Allelic variation in Zmfatb gene defines variability for fatty acids composition among diverse maize genotypes	Frontiers in Nutrition	9	845255	10.3389/fnut.2022.845255	Replaces unresolved Khan2022/10.3389.fnut.2022.906530 draft item for chr9 FatB support.	https://api.crossref.org/works/10.3389%2Ffnut.2022.845255	crossref_found	Allelic Variation in Zmfatb Gene Defines Variability for Fatty Acids Composition Among Diverse Maize Genotypes	Frontiers in Nutrition	2022	9	NA	Ashvinkumar Katral	True	True	True	verified	NA
