section	record_id	field	value	required	target_file	guidance
author	1	author_order	1	yes	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv	
author	1	full_name	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv	Full author name exactly as submitted to the journal.
author	1	initials	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv	Initials used in CRediT contribution statement.
author	1	email	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv	Email for corresponding authors; optional for non-corresponding authors if journal permits.
author	1	orcid	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv	ORCID iD, or NA if not used.
author	1	affiliation_id_list	1	yes	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv	Semicolon-separated affiliation IDs from the affiliation section.
author	1	corresponding_author	yes/no	yes	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv	yes or no.
author	1	equal_contribution	yes/no	yes	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv	yes or no.
author	1	contribution_roles	Conceptualization; Data curation; Formal analysis; Software; Visualization; Writing-original draft; Writing-review/editing	yes	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv	Semicolon-separated CRediT roles.
author	1	approval_confirmed	yes/no	yes	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv	yes only after author approval is documented.
author	1	coi_confirmed	yes/no	yes	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv	yes only after competing-interest disclosure is documented.
author	1	notes	Replace placeholders before submission.	yes	docs/2026-06-06-zeamap-v0-1-author-metadata-template.tsv	
affiliation	1	affiliation_id	1	yes	docs/2026-06-06-zeamap-v0-1-affiliation-template.tsv	
affiliation	1	institution	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-affiliation-template.tsv	Exact official institutional spelling.
affiliation	1	department_or_lab	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-affiliation-template.tsv	Exact department, lab, college or institute.
affiliation	1	city	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-affiliation-template.tsv	City for journal affiliation line.
affiliation	1	state_or_province	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-affiliation-template.tsv	State/province; use NA if not applicable.
affiliation	1	country	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-affiliation-template.tsv	Country/region name required by target journal.
affiliation	1	postal_code	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-affiliation-template.tsv	Postal code; use NA if target journal does not require it.
affiliation	1	notes	Use exact institutional spelling required by target journal.	yes	docs/2026-06-06-zeamap-v0-1-affiliation-template.tsv	
reviewer	reviewer_1	type	suggested	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	suggested or opposed_optional.
reviewer	reviewer_1	name	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	
reviewer	reviewer_1	email	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Institutional email preferred.
reviewer	reviewer_1	institution	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Current institution.
reviewer	reviewer_1	expertise	Maize quantitative genetics / mixed-model GWAS	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Short expertise label.
reviewer	reviewer_1	reason	Can evaluate population-structure control, GEMMA LMM and candidate-locus statistics.	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Why this reviewer is appropriate or why opposed reviewer has conflict.
reviewer	reviewer_1	conflict_checked	yes/no	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	yes only after checking conflicts.
reviewer	reviewer_1	notes	Avoid ZEAMAP data generators or close collaborators if conflicted.	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	
reviewer	reviewer_2	type	suggested	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	suggested or opposed_optional.
reviewer	reviewer_2	name	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	
reviewer	reviewer_2	email	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Institutional email preferred.
reviewer	reviewer_2	institution	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Current institution.
reviewer	reviewer_2	expertise	Maize seed oil / fatty-acid metabolism	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Short expertise label.
reviewer	reviewer_2	reason	Can evaluate chr6 linoleic acid1-region and chr9 acyl-ACP thioesterase interpretation.	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Why this reviewer is appropriate or why opposed reviewer has conflict.
reviewer	reviewer_2	conflict_checked	yes/no	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	yes only after checking conflicts.
reviewer	reviewer_2	notes	Check for unpublished direct competition on chr6/chr9 loci.	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	
reviewer	reviewer_3	type	suggested	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	suggested or opposed_optional.
reviewer	reviewer_3	name	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	
reviewer	reviewer_3	email	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Institutional email preferred.
reviewer	reviewer_3	institution	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Current institution.
reviewer	reviewer_3	expertise	Crop genomics resource reuse and reproducible analysis	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Short expertise label.
reviewer	reviewer_3	reason	Can evaluate ZEAMAP accession harmonization and public-resource reuse.	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Why this reviewer is appropriate or why opposed reviewer has conflict.
reviewer	reviewer_3	conflict_checked	yes/no	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	yes only after checking conflicts.
reviewer	reviewer_3	notes	Prefer reviewer with no direct role in ZEAMAP construction.	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	
reviewer	reviewer_4	type	opposed_optional	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	suggested or opposed_optional.
reviewer	reviewer_4	name	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	
reviewer	reviewer_4	email	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Institutional email preferred.
reviewer	reviewer_4	institution	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Current institution.
reviewer	reviewer_4	expertise	TO_COMPLETE	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Short expertise label.
reviewer	reviewer_4	reason	Conflict or direct competition reason.	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	Why this reviewer is appropriate or why opposed reviewer has conflict.
reviewer	reviewer_4	conflict_checked	yes/no	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	yes only after checking conflicts.
reviewer	reviewer_4	notes	Only include if journal permits opposed reviewers and reason is defensible.	yes	docs/2026-06-06-zeamap-v0-1-named-reviewer-worksheet.tsv	
figure_check	Figure 1	figure	Figure 1	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	
figure_check	Figure 1	file_stem	figure1_dataset_prediction_nature	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	
figure_check	Figure 1	purpose	Dataset construction and prediction benchmark	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	
figure_check	Figure 1	pdf_opened	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after opening final PDF.
figure_check	Figure 1	svg_opened	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after opening final SVG.
figure_check	Figure 1	png_opened	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after opening final PNG.
figure_check	Figure 1	panel_labels_correct	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after visual inspection.
figure_check	Figure 1	text_readable_at_journal_size	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after checking print-size readability.
figure_check	Figure 1	no_label_overlap	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after checking labels and annotations.
figure_check	Figure 1	legend_matches_figure	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after checking caption/legend consistency.
figure_check	Figure 1	color_accessibility_checked	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after colorblind-safe inspection.
figure_check	Figure 1	final_status	pass/revise	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	pass only when all visual checks pass.
figure_check	Figure 1	notes	Manual inspection required.	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	
figure_check	Figure 2	figure	Figure 2	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	
figure_check	Figure 2	file_stem	figure_gemma_lmm_summary_nature	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	
figure_check	Figure 2	purpose	GEMMA LMM calibration and candidate-locus summary	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	
figure_check	Figure 2	pdf_opened	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after opening final PDF.
figure_check	Figure 2	svg_opened	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after opening final SVG.
figure_check	Figure 2	png_opened	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after opening final PNG.
figure_check	Figure 2	panel_labels_correct	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after visual inspection.
figure_check	Figure 2	text_readable_at_journal_size	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after checking print-size readability.
figure_check	Figure 2	no_label_overlap	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after checking labels and annotations.
figure_check	Figure 2	legend_matches_figure	yes/no	yes	docs/2026-06-06-zeamap-v0-1-final-figure-manual-checklist.tsv	yes after checking caption/legend consistency.
