result_id	manuscript_claim	script	primary_inputs	primary_outputs	key_parameters_or_decisions	verification_evidence	reviewer_risk_addressed	missing_paths	ready_for_reviewer
R00_download_scope	Raw SRA/FASTQ, whole pangenome assemblies and all epigenome tracks were deferred; v0.1 uses processed matrices first.	docs/2026-06-04-download-scope-rationale.md	docs/2026-06-04-zeamap-first-batch-download-check.md;docs/2026-06-04-zeamap-second-batch-check.md	docs/2026-06-04-download-scope-rationale.md	Processed-matrix first strategy; raw/high-volume modalities reserved for later validation or sequence-tokenizer work.	Download rationale and two batch check reports exist.	R05 reproducibility and data-scope criticism		True
R01_accession_harmonization	ZEAMAP phenotype, population and genotype identifiers were harmonized to accession level.	scripts/build_zeamap_sample_index.py	docs/2026-06-04-zeamap-sample-id-check.md	data/metadata/zeamap_accession_index.tsv;data/metadata/zeamap_table_id_summary.tsv;data/metadata/zeamap_expression_sample_columns.tsv	Accession-level harmonization; expression columns recorded but not forced into accession-level v0.1.	Stage 1 report documents population/phenotype/VCF sample alignment.	R02 methodology reproducibility		True
R02_processed_dataset	v0.1 contains 461 paired accessions, 199,856 SNPs and 318 numeric traits.	scripts/build_zeamap_v0_1_dataset.py	data/metadata/zeamap_accession_index.tsv;docs/2026-06-04-zeamap-v0-1-build-report.md	data/processed/v0_1/accessions.tsv;data/processed/v0_1/phenotype.parquet;data/processed/v0_1/population.parquet;data/processed/v0_1/modality_mask.tsv;data/processed/v0_1/genotype_dosage_int8.npz	Common high-call biallelic SNPs; accession has genotype, population and at least one phenotype/metabolome measurement.	Build report and processed matrix paths document sample and feature counts.	R02 methodology reproducibility		True
R03_baseline_prediction	Initial genotype/population prediction benchmark found stable signal and motivated trait filtering.	scripts/run_zeamap_v0_1_baseline.py	data/processed/v0_1/accessions.tsv;data/processed/v0_1/phenotype.parquet	docs/2026-06-05-zeamap-v0-1-baseline-report.md	Train/validation/test split 322/69/70; genotype PCA and ridge baselines.	Baseline report records first-pass median Pearson/R2 and model ranking.	R02 methodology reproducibility		True
R04_selected_traits	Trait screening reduced noisy outcomes before multi-seed benchmarking.	scripts/select_zeamap_v0_1_traits.py	docs/2026-06-05-zeamap-v0-1-baseline-report.md	docs/2026-06-05-zeamap-v0-1-selected-traits.md	Selected traits are retained based on evaluability and baseline evidence.	Selected-traits report documents selected trait count and family composition.	R02 methodology reproducibility		True
R05_robust_traits	Repeated-seed evaluation identified 66 robust traits.	scripts/run_zeamap_v0_1_robustness.py	docs/2026-06-05-zeamap-v0-1-selected-traits.md	docs/2026-06-05-zeamap-v0-1-robustness-report.md	Five random seeds; robust traits retained for final benchmark.	Robustness report records 66 robust traits and family counts.	R02 methodology reproducibility		True
R06_lightweight_models	Ridge/ElasticNet were more stable than small MLP under current sample size.	scripts/run_zeamap_v0_1_lightweight_models.py	docs/2026-06-05-zeamap-v0-1-robustness-report.md	docs/2026-06-05-zeamap-v0-1-lightweight-model-report.md	Lightweight ridge, ElasticNet and small MLP comparison on robust traits.	Lightweight model report supports restrained model choice.	R08 prediction-guided overclaim risk		True
R07_methylation_ablation	Methylation remained auxiliary and was not used as the v0.1 main-model input.	scripts/run_zeamap_v0_1_methylation_subset.py	data/processed/v0_1/modality_mask.tsv	docs/2026-06-05-zeamap-v0-1-methylation-subset-report.md;docs/2026-06-05-zeamap-v0-1-gene-methylation-pca-report.md;docs/2026-06-05-zeamap-v0-1-sparse-methylation-selection-report.md	236 methylation-covered accessions; global summary, gene/promoter/cis-window PCA and sparse gene-window checks.	Three methylation reports document limited or unstable gain.	R01 novelty and scope discipline		True
R08_final_prediction_benchmark	Final benchmark used genotype_population_ridge; oil traits were strongest.	scripts/build_zeamap_v0_1_final_benchmark.py	docs/2026-06-05-zeamap-v0-1-robustness-report.md;docs/2026-06-05-zeamap-v0-1-lightweight-model-report.md	docs/2026-06-05-zeamap-v0-1-final-benchmark.md	66 robust traits; final model genotype_population_ridge; oil median Pearson/R2 0.596/0.321.	Final benchmark report documents model and trait-family performance.	R02 methodology reproducibility		True
R09_genotype_attribution	Ridge attribution provided support used only as orthogonal prioritization, not causal evidence.	scripts/run_zeamap_v0_1_genotype_attribution.py	docs/2026-06-05-zeamap-v0-1-final-benchmark.md	docs/2026-06-05-zeamap-v0-1-genotype-attribution-report.md	Attribution screen after final benchmark; interpreted as prioritization support only.	Attribution report preserves non-GWAS claim boundary.	R08 prediction-guided overclaim risk		True
